timestamp,emotion,score,blink_count
2025-12-04T01:24:21.330645,neutral,0.0,0
2025-12-04T01:24:21.603847,neutral,0.0,0
2025-12-04T01:24:21.847752,neutral,0.0,0
2025-12-04T01:24:22.108880,neutral,0.0,0
2025-12-04T01:24:22.343945,neutral,0.0,0
2025-12-04T01:24:22.574475,neutral,0.0,0
2025-12-04T01:24:22.798826,neutral,0.0,0
2025-12-04T01:24:23.021099,neutral,0.0,0
2025-12-04T01:24:23.243829,neutral,0.0,0
2025-12-04T01:24:23.477403,neutral,0.0,0
2025-12-04T01:24:23.717086,neutral,0.0,0
2025-12-04T01:24:23.931755,neutral,0.0,0
2025-12-04T01:24:24.119202,neutral,0.0,0
2025-12-04T01:24:24.348529,neutral,0.0,0
2025-12-04T01:24:24.538625,neutral,0.0,0
2025-12-04T01:24:24.748163,neutral,0.0,0
2025-12-04T01:24:24.941685,neutral,0.0,0
2025-12-04T01:24:25.145501,neutral,0.0,0
2025-12-04T01:24:25.360153,neutral,0.0,0
2025-12-04T01:24:25.583634,neutral,0.0,0
2025-12-04T01:24:25.814992,neutral,0.0,0
2025-12-04T01:24:26.025851,neutral,0.0,0
2025-12-04T01:24:26.262534,neutral,0.0,0
2025-12-04T01:24:26.486321,neutral,0.0,0
2025-12-04T01:24:26.715880,neutral,0.0,0
2025-12-04T01:24:26.919270,neutral,0.0,0
2025-12-04T01:24:27.140226,neutral,0.0,0
2025-12-04T01:24:27.364247,neutral,0.0,0
2025-12-04T01:24:27.600195,neutral,0.0,0
2025-12-04T01:24:27.817224,neutral,0.0,0
2025-12-04T01:24:28.049679,neutral,0.0,0
2025-12-04T01:24:28.266114,neutral,0.0,0
2025-12-04T01:24:28.493256,neutral,0.0,0
2025-12-04T01:24:28.729644,neutral,0.0,0
2025-12-04T01:24:28.960308,neutral,0.0,0
2025-12-04T01:24:29.191935,neutral,0.0,0
2025-12-04T01:24:29.428360,neutral,0.0,0
2025-12-04T01:24:29.666844,neutral,0.0,0
2025-12-04T01:24:29.903787,neutral,0.0,0
2025-12-04T01:24:30.148281,neutral,0.0,0
2025-12-04T01:24:30.388469,neutral,0.0,0
2025-12-04T01:24:30.622963,neutral,0.0,0
2025-12-04T01:24:30.842557,neutral,0.0,0
2025-12-04T01:24:31.066023,neutral,0.0,0
2025-12-04T01:24:31.283094,neutral,0.0,0
2025-12-04T01:24:31.527317,neutral,0.0,0
2025-12-04T01:24:31.771450,neutral,0.0,0
2025-12-04T01:24:31.998078,neutral,0.0,0
2025-12-04T01:24:32.228601,neutral,0.0,0
2025-12-04T01:24:32.446024,neutral,0.0,0
2025-12-04T01:24:32.674151,neutral,0.0,0
2025-12-04T01:24:32.891800,neutral,0.0,0
2025-12-04T01:24:33.114604,neutral,0.0,0
2025-12-04T01:24:33.343365,neutral,0.0,0
2025-12-04T01:24:33.552428,neutral,0.0,0
2025-12-04T01:24:33.773883,neutral,0.0,0
2025-12-04T01:24:34.013136,neutral,0.0,0
2025-12-04T01:24:34.264576,neutral,0.0,0
2025-12-04T01:24:34.508025,neutral,0.0,0
2025-12-04T01:24:34.729494,neutral,0.0,0
2025-12-04T01:24:35.301414,neutral,0.0,0
2025-12-04T01:24:35.549367,neutral,0.0,0
2025-12-04T01:24:35.845510,neutral,0.0,0
2025-12-04T01:24:36.088037,neutral,0.0,0
2025-12-04T01:24:36.341424,neutral,0.0,0
